nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
NY. R. SITANGGANG,,,,,Pertamina,SPBU,31-10201,,,Jakarta Pusat,"Jl. Petamburan, Jakarta Pusat ",,,,,,Tidak Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-10202,,JP/160/2008/I,Jakarta Pusat,"Jl. Abdul Muis No. 68,Petojo Selatan, Gambir, Jakarta Pusat 10130",Petojo Selatan,Gambir,64/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-10303,,JP/236/2008/I,Jakarta Pusat,"Jl. Cikini Raya No. 113-115 RT010/RW04,Cikini, Menteng, Jakarta Pusat 10330",Cikini,Menteng,65/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",,,Pertamina,SPBU,31-10701,,JP/187/2008/II/P,Jakarta Pusat,"Jl. Industri Raya No. 1, Gunung Sahari Utara, Sawah Besar, Jakarta Pusat 10720",Gunung Sahari Utara,Sawah Besar,406/2008,23/06/2008,23/06/2010,Expired
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-10702,2011,JP/306/2011/I,Jakarta Pusat,"Jl. H. Samanhudi No. 20, Pasar Baru, Sawah Besar, Jakarta Pusat 10710",Pasar Baru,Sawah Besar,79/2011,18/05/2011,18/05/2016,Baru
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-10703,2011,JP/313/2011/I,Jakarta Pusat,"Jl. Mangga Besar Raya No. 140, Kartini, Sawah Besar, Jakarta Pusat 10750",Kartini,Sawah Besar,129/2011,28/10/2011,,BR/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-11403,,JB/290/2010/II,Jakarta Barat,"Jl. Daan Mogot Kav. 2 RT007/RW04, Jelambar, Grogol Petamburan, Jakarta Barat 11460",Jelambar,Grogol Petamburan,92/2010,13/08/2010,13/08/2015,Baru
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3814821, (021) 3518385",01.001.664.0-051.000,,Pertamina,SPBU,31-11404,,JB/303/2011/I,Jakarta Barat,"Jl. Tomang Raya No. 42, Jati Pulo, Palmerah, Jakarta Barat 11430",Jati Pulo,Palmerah,43/2011,4/04/2011,4/04/2016,Baru
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,Ir. Isriyanto,Pertamina,SPBU,31-11802,,JB/359/2014/I,Jakarta Barat,"Jl. Daan Mogot Km. 16 RT001/RW01, Kalideres, Kalideres, Jakarta Barat 11840",Kalideres,Kalideres,41/2014,8/04/2014,,Baru/Selama Masih Beroperasi
NY. SUTATI SUDIGDO,,,,,Pertamina,SPBU,31-12201,,,Jakarta Selatan,"Jl. Raya Ciputat , Pasar Jumat, Jakarta Selatan ",Pasar Jumat,,,,,Belum Urus Izin
SUGANDHI PRABOWO,"Jl. Bintaro Raya/Tanah Kusir No. 3&5, Kebayoran Lama, Jakarta Selatan",(021) 7293114,,,Pertamina,SPBU,31-12202,,JS/081/2008/II/P,Jakarta Selatan,"Jl. Bintaro Jaya/Tanah Kusir No. 3&5, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Kebayoran Lama Selatan,Kebayoran Lama,46/2010,23/04/2010,23/04/2011,Tidak Beroperasi
PT. PERTAMINA RETAIL (Ex. PT. Bersaudara),"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-12203,,JS/013/2006/II,Jakarta Selatan,"Jl. Tentara Pelajar, Grogol Utara, Kebayoran Lama, Jakarta Selatan ",Grogol Utara,Kebayoran Lama,83/2014,19/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815064, (021) 3503967",01.001.664.0-051.000,,Pertamina,SPBU,31-12204,2011,JS/321/2011/I,Jakarta Selatan,"Jl. Sultan Iskandar Muda RT011/RW09, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Kebayoran Lama Selatan,Kebayoran Lama,154/2011,27/12/2011,,BR/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3814821, (021) 3518385",01.001.664.0-051.000,,Pertamina,SPBU,31-12401,2011,JS/305/2011/I,Jakarta Selatan,"Jl. Fatmawati Raya No. 6 RT001/RW05, Gandaria Selatan, Cilandak, Jakarta Selatan 12420",Gandaria Selatan,Cilandak,83/2011,31/05/2011,31/05/2016,Baru
PT. PERTAMINA (Persero) (Ex. PT. Petronas Niaga Indonesia),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110",(021) 3814821,01.001.664.0-051.000,Ir. Isriyanto,Pertamina,SPBU,31-12402,,JS/050/2007/I,Jakarta Selatan,"Jl. RS. Fatmawati No. 19 - 69 RT001/RW03, Cipete Selatan, Cilandak, Jakarta Selatan 12410",Cipete Selatan,Cilandak,99/2013,19/11/2013,,PJ/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815053, (021) 3518385",01.001.664.0-051.000,,Pertamina,SPBU,31-12701,2010,JS/301/2010/I,Jakarta Selatan,"Jl. Kemang Selatan Raya No. 105A RT001/RW03, Bangka, Mampang Prapatan, Jakarta Selatan 12730",Bangka,Mampang Prapatan,153/2010,31/12/2010,31/12/2015,Baru
PT. PERTAMINA RETAIL (Ex. PT. Sigma Rancang Perdana),"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-12702,,JS/239/2008/II,Jakarta Selatan,"Jl. Kapt. Tendean No. 38, Kuningan Barat, Mampang Prapatan, Jakarta Selatan 12710",Kuningan Barat,Mampang Prapatan,82/2014,19/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815053, (021) 3518385",01.001.664.0-051.000,,Pertamina,SPBU,31-12802,,JS/267/2009/I,Jakarta Selatan,"Jl. MT. Haryono Kav. 18 RT010/RW05, Tebet Barat, Tebet, Jakarta Selatan 12810",Tebet Barat,Tebet,164/2009,15/12/2009,15/12/2014,Baru
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-12902,,JS/214/2008/I,Jakarta Selatan,"Jl. HR. Rasuna Said Kav. X2, Kuningan Timur, Setiabudi, Jakarta Selatan 12950",Kuningan Timur,Setiabudi,62/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-13101,,JT/059/2007/I,Jakarta Timur,"Jl. Pramuka No. 18A,Utan Kayu Utara, Matraman, Jakarta Timur 13120",Utan Kayu Utara,Matraman,63/2014,2/06/2014,,PJ/Selama Masih Beroperasi
PT. PERTAMINA (Persero) (Ex. PT. Asia Ma'mur),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110",(021) 3815064,01.001.664.0-051.000,,Pertamina,SPBU,31-13301,,JT/093/2008/I,Jakarta Timur,"Jl. Otto Iskandardinata Raya No. 69-71 RT007/RW09, Bidara Cina, Jatinegara, Jakarta Timur 13330",Bidara Cina,Jatinegara,121/2011,10/10/2011,,PJ/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110","(021) 3815053, (021) 3518385",01.001.664.0-051.000,,Pertamina,SPBU&G,31-13401,,JT/294/2010/I,Jakarta Timur,"Jl. Bekasi Timur Raya Km. 17 RT002/RW01, Jatinegara Kaum, Pulogadung, Jakarta Timur 13250",Jatinegara Kaum,Pulogadung,129/2010,21/10/2010,21/10/2011,Expired
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",,,Pertamina,SPBU,31-13602,,JT/107/2008/I/P,Jakarta Timur,"Jl. Letjend Sutoyo RT004/RW014, Cililitan, Kramat Jati, Jakarta Timur 13640",Cililitan,Kramat Jati,137/2010,18/11/2010,18/11/2015,Perpanjangan
PT. PERTAMINA RETAIL,"Wisma Tugu Wahid Hasyim Jl. Wahid Hasyim No.100-102, Kebon Sirih, Menteng, Jakarta Pusat 10340","(021) 3926772, (021) 3926788",01.846.891.8-051.000,Toharso,Pertamina,SPBU,31-13701,,JT/302/2011/I,Jakarta Timur,"Jl. Raya Bogor Km. 28 RT008/RW007, Pekayon, Pasar Rebo, Jakarta Timur 13710",Pekayon,Pasar Rebo,61/2014,2/06/2014,,PJ/Selama Masih Beroperasi
CV. TAWAKKAL,"Jl. Raya Bekasi Cakung RT 006/05, Cakung Barat, Cakung, Jakarta Timur 13910",(021) 4600948,,,Pertamina,SPBU,31-13901,,JT/251/2009/II/P,Jakarta Timur,"Jl. Raya Bekasi Cakung No. 1 Km. 21-22, Cakung Barat, Cakung, Jakarta Timur 13910",Cakung Barat,Cakung,67/2010,5/07/2010,5/07/2015,Perpanjangan
PT. PERTAMINA (Persero) (Ex. H. Soewarso Pawaka),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110",(021) 3815064,01.001.664.0-051.000,Ir. Isriyanto,Pertamina,SPBU,31-13904,,JT/348/2013/I,Jakarta Timur,"Jl. Raya Bekasi Km. 21,Rawa Terate, Cakung, Jakarta Timur 13920",Rawa Terate,Cakung,27/2013,2/04/2013,,BR/Selama Masih Beroperasi
PT. PERTAMINA (Persero),"Jl. Medan Merdeka Timur 1A, Gambir, Gambir, Jakarta Pusat 10110",(021) 3815064,01.001.664.0-051.000,Ir. Isriyanto,Pertamina,SPBU,31-14301,,JU/353/2013/I,Jakarta Utara,"Jl. Yos Sudarso RT008/RW011, Sunter Jaya, Tanjung Priok, Jakarta Utara  14350",Sunter Jaya,Tanjung Priok,62/2013,19/07/2013,,BR/Selama Masih Beroperasi
PT. KRAMA YUDHA TIGA BERLIAN MOTORS,"Jl. Jend. A. Yani Proyek Pulomas, Kayu Putih, Pulogadung, Jakarta Timur 13210","(021) 4891608, (021) 4750765",,,Pertamina,SPBI,33-0128,,JT/257/2009/II,Jakarta Timur,"Jl. Jend. A. Yani Proyek Pulomas, Kayu Putih, Pulogadung, Jakarta Timur .13210",Kayu Putih,Pulogadung,110/2009,18/08/2009,18/08/2014,Expired
PT. MANAJEMEN BAHAN BAKAR ANDALAN (Ex. Ir. Eriko Sitorus),"Jl. Teuku Cik Ditiro No. 43 RT010/RW05, Menteng, Menteng, Jakarta Pusat 10310","(021) 3902312, (021) 3147531",,F. Jannes Saragi Sialagan,Pertamina,SPBU,33-11301,,JB/090/2008/II,Jakarta Barat,"Jl. P. Tubagus Angke Raya RT004/RW05,Wijaya Kusuma, Grogol Petamburan, Jakarta Barat 11460",Wijaya Kusuma,Grogol Petamburan,15/2012,21/02/2012,,PJ/Selama Masih Beroperasi
PT. GADING ORCHARD,"JL.PERINTIS KEMERDEKAAN NO.42 Gd. Plaza Summarecon Lt.2 Kel.Kayu Putih, Kec.Pulogadung, Jakarta Timur","(021) 4714567, (021) 4892976",,Johannes Mardjuki,Pertamina,SPBU,33-14201,,JP/344/2013/II,Jakarta Utara,"Jl. Hibrida Raya Grand Orchard, Pegangsaan Dua, Kelapa Gading, Jakarta Utara 14250",Pegangsaan Dua,Kelapa Gading,14/2013,27/02/2013,,BR/Selama Masih Beroperasi
PT. PANCA UNGGUL CEMERLANG,"Jl. Brigjen Katamso No. 25, Slipi, Palmerah, Jakarta Barat 11410","(021) 5349884, (021) 63864959",,,Pertamina,SPBU,34-10101,2009,JP/253/2009/II,Jakarta Pusat,"Jl. Zainul Arifin No. 25, Petojo Utara, Gambir, Jakarta Pusat 10160",Petojo Utara,Gambir,97/2009,29/07/2009,29/07/2014,Baru (3 Bulan Lagi Expired)
PT. PANCA UNGGUL CEMERLANG,"Jl. Brigjend. Katamso No. 88, Slipi, Palmerah, Jakarta Barat 11410","(021) 5349884, (021) 5349939",,,Pertamina,SPBU,34-10102,,JP/274/2010/II/P,Jakarta Pusat,"Jl. KH. Hasyim Ashari No. 39, Petojo Utara, Gambir, Jakarta Pusat 10160",Petojo Utara,Gambir,28/2010,5/03/2010,5/03/2015,Baru
PT. MAGENDRA SHATRA PRATAMA,,,,,Pertamina,SPBU,34-10201,,,Jakarta Pusat,"Jl. Penjernihan I, Tanah Abang, Jakarta Pusat ",Tanah Abang,Tanah Abang,113/2009,18/08/2009,18/08/2010,Expired
PT. DHARMA DISTRINDO SARANA SEJATI,"Jl. Tanah Abang II/113, Cideng, Gambir, Jakarta Pusat 10150","(021) 34830888, (021) 3853740",,,Pertamina,SPBU,34-10202,,JP/131/2008/II/P,Jakarta Pusat,"Jl. Tanah Abang II No. 6, Petojo Selatan, Gambir, Jakarta Pusat 10130",Petojo Selatan,Gambir,80/2010,26/07/2010,26/07/2015,Perpanjangan
PT. SGS MAJU MANDIRI,"Jl. Prof. Dr. Latumenten No. 29, Jakarta Barat",,,,Pertamina,SPBU,34-10203,,JP/034/2007/II,Jakarta Pusat,"Jl. KH. Mas Mansyur No. 92, Kebon Melati, Tanah Abang, Jakarta Pusat ",Kebon Melati,Tanah Abang,240/2007,10/05/2007,10/05/2012,Expired
PT. BUNMAS UNITY,"Jl. Brigjend Katamso No. 88, Slipi, Palmerah, Jakarta Barat","(021) 5349884, (021) 5349939",,,Pertamina,SPBU,34-10204,,JP/076/2008/II,Jakarta Pusat,"Jl. Tanah Abang I No. 23 RT007/RW07, Petojo Selatan, Gambir, Jakarta Pusat 10130",Petojo Selatan,Gambir,123/2008,3/03/2008,3/03/2013,Expired
PT. NUSADEWA NATURA,"Banjar Lalapan, Ubud 80571, Bali",,,,Pertamina,SPBU,34-10205,,JP/218/2008/II,Jakarta Pusat,"Jl. Raya Cideng Timur No. 50, Petojo Selatan, Gambir, Jakarta Pusat 10130",Petojo Selatan,Gambir,465/2008,16/07/2008,16/07/2013,Expired (Berkas Proses)
PT. BEE MANDIRI,"Jl. Hanglekir I No. 4 RT004/RW01, Gelora, Tanah Abang, Jakarta Pusat 10270","(021) 6900404, (021) 69099784",,Bee Jek Jen,Pertamina,SPBU,34-10206,,JP/338/2012/II,Jakarta Pusat,"Jl. Hanglekir I No. 4 RT004/RW01, Gelora, Tanah Abang, Jakarta Pusat 10270",Gelora,Tanah Abang,112/2012,28/12/2012,,BR/Selama Masih Beroperasi
PT. GRACIA SETIA SEJAHTERA (Ex. Ferry Setyadi),"Ruko Cempaka Mas Mega Grosir Blok K-35, Jl. Letjend. Soeprapto, Sumur Batu, Kemayoran, Jakarta Pusat 10640","(021) 42884730, (021) 42889425",03.190.335.4-027.000,Lucy Setyadi,Pertamina,SPBU,34-10301,,JP/292/2010/II,Jakarta Pusat,"Jl. Gereja Theresia, Gondangdia, Menteng, Jakarta Pusat 10310",Gondangdia,Menteng,27/2012,18/04/2012,,PJ/Selama Masih Beroperasi
PT. SUMBER KENCANA PUTRA,"Jl. HOS Cokroaminoto No. 49B, Gondangdia, Menteng, Jakarta Pusat 10310",(021) 3102060,,Irzal Munir,Pertamina,SPBU,34-10305,,JP/334/2012/II,Jakarta Pusat,"Jl. HOS. Cokroaminoto No. 49B, Gondangdia, Menteng, Jakarta Pusat 10310",Gondangdia,Menteng,87/2012,11/10/2012,,PTH/Selama Msh Beroperasi
CV. VIRGO SARANA PRAKARSA (Ex. Drs. H. Eko Wuryanto),"Jl. Pemuda Kav. 3-4, Rawamangun, Pulogadung, Jakarta Timur 13220","(021) 4897333, (021) 4703363",,Drs. H. Eko Wuryanto,Pertamina,SPBU,34-10401,,JP/080/2008/II/P,Jakarta Pusat,"Jl. Kramat Raya No. 116, Kwitang, Senen, Jakarta Pusat 10420",Kwitang,Senen,109/2012,11/12/2012,,PJ/Selama Masih Beroperasi
NINA USMAN,,,,,Pertamina,SPBU,34-10402,,,Jakarta Pusat,"Jl. Raya Pramuka No. 56-57, Jakarta Pusat ",,,,,,Belum Urus Izin
PT. EL-HAKIM BERSAUDARA (Ex. Elidar Sofyanti),"Jl. Bekasi Timur Raya No. 29, Cipinang, Pulogadung, Jakarta Timur 13240","(021) 4241462, (021) 42875778",,Ny. Elidar S,Pertamina,SPBU,34-10501,,JP/037/2007/II,Jakarta Pusat,"Jl. Pramuka No. 68 RT013/RW05, Rawasari, Cempaka Putih, Jakarta Pusat 10570",Rawasari,Cempaka Putih,65/2012,10/08/2012,,PJ/Selama Masih Beroperasi
PT. KARUNIA CIPTA PERSADA (Ex. Ny. Atiek Soeparto HS),"Jl. Letjend. Soeprapto RT007/RW03, Cempaka Putih Barat, Cempaka Putih, Jakarta Pusat 10520",(021) 4251370,,,Pertamina,SPBU,34-10502,1986,JP/145/2008/II/P,Jakarta Pusat,"Jl. Letjend. Soeprapto RT007/RW03, Cempaka Putih Barat, Cempaka Putih, Jakarta Pusat 10520",Cempaka Putih Barat,Cempaka Putih,Feb-12,17/01/2012,,PJ/Selama Masih Beroperasi
H. ZAINUDIN HASAN,"Jl. Kenari II/G.44 RT003/RW03, Senen, Jakarta Pusat",(021) 42876227,,,Pertamina,SPBU,34-10504,1999,JP/189/2008/II/P,Jakarta Pusat,"Jl. Ahmad Yani No. 48, Rawasari, Cempaka Putih, Jakarta Pusat 10570",Rawasari,Cempaka Putih,142/2009,29/10/2009,29/10/2010,Expired
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Utara, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,Anggoro S,Pertamina,SPBU,34-10505,,JP/022/2006/II,Jakarta Pusat,"Jl. Letjend Suprapto No. 56, Tanah Tinggi, Johar Baru, Jakarta Pusat 10540",Tanah Tinggi,Johar Baru,54/2012,12/07/2012,,PJ/Selama Masih Beroperasi
PT. MAGENDRA SHATRA PRATAMA,"Jl. KH. Abdullah Syafei (Jl. Lapangan Roos), Bukit Duri, Tebet, Jakarta Selatan 12480",,,,Pertamina,SPBU,34-10506,,JP/231/2008/II,Jakarta Pusat,"Jl. Letjend Suprapto No. 1, Galur, Johar Baru, Jakarta Pusat 10530",Galur,Johar Baru,652/2008,22/10/2008,22/10/2013,Expired
PT. GREGITAN DINAMIKA,"Jl. Cempaka Putih Raya C1 No. 1-2 RT003/RW08, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat 10510","(021) 8584539, (021) 8517265",,,Pertamina,SPBU,34-10507,,JP/307/2011/II,Jakarta Pusat,"Jl. Cempaka Putih Raya C1 No. 1-2 RT003/RW08, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat 10510",Cempaka Putih Timur,Cempaka Putih,114/2011,25/08/2011,25/08/2016,Baru
PT. MAGENDRA SHATRA PRATAMA,,,,,Pertamina,SPBU,34-10602,,,Jakarta Pusat,"Jl. Gunung Sahari No. 76-77, Jakarta Pusat ",,,,,,Belum Urus Izin
H. M. PRANANDA P SURA MKD,"Jl. Kebagusan IV No. 45 RT010/RW04, Kebagusan, Pasar Minggu, Jakarta Selatan 12520","(021) 8303744, (021) 6259046",,,Pertamina,SPBU,34-10603,2001,JP/169/2008/II/P,Jakarta Pusat,"Jl. Gunung Sahari No. 2, Gunung Sahari Utara, Sawah Besar, Jakarta Pusat 10720",Gunung Sahari Utara,Sawah Besar,151/2009,24/11/2009,24/11/2010,Tidak Beroperasi
PT. SINAR PEDOMAN ABADI,"Jl. Abdul Muis No. 46, Petojo Selatan, Gambir, Jakarta Pusat 10160","(021) 3861010, (021) 3861034",,,Pertamina,SPBU,34-10604,,JP/035/2007/III,Jakarta Pusat,"Jl. Bungur Besar No. 103, Kemayoran, Kemayoran, Jakarta Pusat ",Kemayoran,Kemayoran,241/2007,10/05/2007,10/05/2012,Expired
PT. GREGITAN DINAMIKA,"Jl. Matraman Raya No. 44, Kebon Manggis, Matraman, Jakarta Timur ","(021) 8584539, (021) 8517265",01.542.873.3-015.000,G.M. Joy Talumewo,Pertamina,SPBU,34-10605,,JP/217/2008/II,Jakarta Pusat,"Jl. Letjen Suprapto Kav. 26 RT007/RW002, Harapan Mulya, Kemayoran, Jakarta Pusat 10640",Harapan Mulya,Kemayoran,Oct-14,27/02/2014,,PJ/Selama Masih Beroperasi
PT. USAHA NUR ABADI (Ex. Ny. Alawiyah Bawazir),"Jl. Batu Ceper No. 91 RT015/RW01, Kebon Kelapa, Gambir, Jakarta Pusat 10120",(021) 3457257,,,Pertamina,SPBU,34-10701,,JP/105/2008/II/P,Jakarta Pusat,"Jl. Batu Ceper No. 91 RT015/RW01, Kebon Kelapa, Gambir, Jakarta Pusat 10120",Kebon Kelapa,Gambir,Oct-10,25/01/2010,25/01/2015,Perpanjangan
PT. NURATI JAYA,"Jl. Pangeran Jayakarta No.111, Mangga Dua Selatan, Sawah Besar, Jakarta Pusat 10730",(021) 6493921,,,Pertamina,SPBU,34-10702,1996,JP/141/2008/II/P,Jakarta Pusat,"Jl. Pangeran Jayakarta No.111, Mangga Dua Selatan, Sawah Besar, Jakarta Pusat 10730",Mangga Dua Selatan,Sawah Besar,42/2011,4/04/2011,4/04/2016,Perpanjangan
PT. ABICO BINTANG GEMILANG ,"Jl. KS. Tubun No. 20, Slipi, Palmerah, Jakarta Barat 11410",(021) 5480153,,,Pertamina,SPBU,34-11103,,JB/178/2008/II/P,Jakarta Barat,"Jl. KS. Tubun No. 20, Slipi,  Palmerah, Jakarta Barat 11410",Slipi, Palmerah,140/2010,1/12/2010,1/12/2015,Perpanjangan
PT. GRAHA CAKRAWALA BERJAYA,"Jl. Krekot Raya No. 15 Blok AD RT003/RW07, Pasar Baru, Sawah Besar, Jakarta Pusat 10710","(021) 63850167, (021) 63850169",,,Pertamina,SPBU&G,34-11104,,JB/262/2009/II,Jakarta Barat,"Jl. Hayam Wuruk No. 74-75, Maphar, Taman Sari, Jakarta Barat 11160",Maphar,Taman Sari,98/2014,15/08/2014,,PJ/Selama Masih Beroperasi
PT. HENGTRACO LESTARI,"Jl. KH. Moch Mansyur No. 133 RT003/RW03, Duri Utara, Tambora, Jakarta Barat 11270","(021) 6316825, (021) 6326824",,,Pertamina,SPBU,34-11201,,JB/280/2010/II,Jakarta Barat,"Jl. KH. Moch Mansyur No. 133 RT003/RW03, Duri Utara, Tambora, Jakarta Barat 11270",Duri Utara,Tambora,71/2010,7/07/2010,7/07/2015,Baru
CV. SGS MAJU MANDIRI,"Jl. Prof. Dr. Latumenten No. 29 RT005/RW06, Angke, Tambora, Jakarta Barat",,,,Pertamina,SPBU,34-11301,,,Jakarta Barat,"Jl. Prof. Dr. Latumenten No. 29 RT005/RW06, Angke, Tambora, Jakarta Barat ",Angke,Tambora,Mar-05,18/08/2005,18/08/2010,Expired
PT. AMANAH MONIYAS JAYA (Ex. Sudrajat Jayaatmaja),"Jl. Tanjung Duren Raya, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat 11470",(021) 5685002,,,Pertamina,SPBU,34-11401,,JB/180/2008/II/P,Jakarta Barat,"Jl. Tanjung Duren Raya, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat 11470",Tanjung Duren Selatan,Grogol Petamburan,17/2011,27/01/2011,27/01/2016,Perpanjangan
PT. TOMANG OIL JAYA (Ex. Didit Purnamaningsih),"Jl. Tomang Raya No. 59, Tomang, Grogol Petamburan, Jakarta Barat 11440",(021) 5688011,,,Pertamina,SPBU,34-11402,,JB/067/2008/II/P,Jakarta Barat,"Jl. Tomang Raya No. 59, Tomang, Grogol Petamburan, Jakarta Barat 11440",Tomang,Grogol Petamburan,90/2009,22/07/2009,22/07/2014,Perpanjangan (3 Bulan Lagi Expired)
PT. ALPHA KUMALA WARDHANA (Ex. Ping Astono),"Jl. Mayjend. Sungkono No. 147, Dukuh Pakis, Dukuh Pakis, Surabaya","(031) 5670777, (021) 5670555",,,Pertamina,SPBU,34-11403,,JB/221/2008/II/P,Jakarta Barat,"Jl. Kemanggisan Utama Raya No. 6-8 RT011/RW06, Kemanggisan, Palmerah, Jakarta Barat 11480",Kemanggisan,Palmerah,26/2011,4/02/2011,4/02/2016,Perpanjangan
PT. ANMER JAYA MANDIRI (Ex. Ali Santoso),"Jl. Prof. Dr. Latumenten Raya No. 20, Jelambar, Grogol Petamburan, Jakarta Barat 11460",(021) 56969343,02.691.427.5-036.000,Ali Santoso,Pertamina,SPBU,34-11404,,JB/047/2007/II,Jakarta Barat,"Jl. Prof. Dr. Latumenten Raya No. 20, Jelambar, Grogol Petamburan, Jakarta Barat 11460",Jelambar,Grogol Petamburan,107/2014,9/09/2014,,PJ/Selama Masih Beroperasi
PT. PANCA UNGGUL CEMERLANG,"Jl. Brigjen Katamso No. 88 RT004/RW001, Slipi, Palmerah, Jakarta Barat 11410","(021) 5349884, (021) 5349939",01.871.019.4-038.000,William Widyanata,Pertamina,SPBU,34-11405,,JB/057/2007/II,Jakarta Barat,"Jl. Palmerah Utara Raya No. 56 RT002/RW06, Palmerah, Palmerah, Jakarta Barat 11480",Palmerah,Palmerah,18/2014,17/03/2014,,PJ/Selama Masih Beroperasi
PT. PUTRA SERIATAMA INDAH,"Jl. Jatibaru Raya No. 24, Jakarta Pusat",,,,Pertamina,SPBU,34-11406,,JB/229/2008/II,Jakarta Barat,"Jl. S. Parman No. 109, Tomang, Grogol Petamburan, Jakarta Barat 11440",Tomang,Grogol Petamburan,644/2008,26/09/2008,26/09/2013,Tidak Beroperasi
