nama_pemilik_perusahaan,alamat_pemilik_perusahaan,telepon,npwp_perusahaan,direktur_perusahaan,mitra,jenis,no_spbu,mulai_beroperasi,kode_spbu,wilayah_spbu,alamat_spbu,kelurahan_spbu,kecamatan_spbu,izin_terakhir,tanggal_izin,berlaku_sampai,keterangan
PT. PERINTIS KEMAKMURAN BATAVIA,"Jl. Perintis Kemerdekaan No. 47 RT010/RW016, Kayu Putih, Pulogadung, Jakarta Timur 13210","(021) 4710779, (021) 88975851",,Drs. H. Aminudin,Pertamina,SPBU,34-14204,,JU/339/2012/II,Jakarta Utara,"Jl. Yos Sudarso By Pass RT001/RW04, Sunter Jaya, Tanjung Priok, Jakarta Utara  10270",Sunter Jaya,Tanjung Priok,114/2012,28/12/2012,,BR/Selama Masih Beroperasi
PT. BATAVIA KIRANA ENERGI (Ex. H. M. Zaelani Zein),"Jl. Boulevard Timur Raya, Pegangsaan Dua, Kelapa Gading, Jakarta Utara 14250",(021) 4522818,03.270.627.7-043.000,Esty Rahayu Asep Sadikin,Pertamina,SPBU,34-14205,,JU/133/2008/II/P,Jakarta Utara,"Jl. Boulevard Timur Raya, Pegangsaan Dua, Kelapa Gading, Jakarta Utara 14250",Pegangsaan Dua,Kelapa Gading,70/2014,9/06/2014,,Perpanjangan
H. SAMAN ZEIN,"Jl. Kelapa Hijau I D 3/8 RT001/RW017, Kelapa Gading Timur, Jakarta Utara ",(021) 46824263,,,Pertamina,SPBU,34-14206,,JU/132/2008/II/P,Jakarta Utara,"Jl. Pegangsaan Dua, Pegangsaan Dua, Kelapa Gading, Jakarta Utara  14250",Pegangsaan Dua,Kelapa Gading,331/2008,21/05/2008,21/05/2009,Expired
PT. MAJU TERUS JAYA,"Jl. Raya Cilincing No. 17 RT001/RW08, Cilincing, Cilincing, Jakarta Utara 14120","(021) 4406722, (021) 4406724",,Lukman Sucipto,Pertamina,SPBU,34-14207,,JU/236/2012/II,Jakarta Utara,"Jl. Raya Plumpang Semper No. 45, Tugu Utara, Koja, Jakarta Utara  14260",Tugu Utara,Koja,21/2012,15/03/2012,,PTH/Selama Msh Beroperasi
PT. SURYARUKMA SAKTI,"Jl. Boulevard Artha Gading Blok A3, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara 14240","(021) 45841421, (021) 45874113",,,Pertamina,SPBU,34-14208,,JU/008/2006/II,Jakarta Utara,"Jl. Boulevard Artha Gading Blok A3, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara 14240",Kelapa Gading Barat,Kelapa Gading,50/2011,4/04/2011,4/04/2016,Perpanjangan
PT. DUTA SELATAN CEMERLANG,"Jl. Pegangsaan II No. 85, Jakarta Utara",(021) 70974456,,,Pertamina,SPBU,34-14209,,JU/136/2008/II,Jakarta Utara,"Jl. Pegangsaan II No. 85, Tugu Selatan, Koja, Jakarta Utara 14260",Tugu Selatan,Koja,243/2008,21/04/2008,21/04/2013,Expired
PT. PUALAM TIRTA SENTOSA,"Jl. Raya Boulevard Barat Blok LC 7 No. 37-38, Kelapa Gading, Jakarta Utara",(021) 4529269,02.388.313.5-043.000,Sugiarto Perwata,Pertamina,SPBU,34-14210,,JU/219/2008/II,Jakarta Utara,"Jl. Sentra Bisnis Artha Gading Blok D Kav No. 2, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara 14240",Kelapa Gading Barat,Kelapa Gading,59/2014,2/06/2014,,PJ/Selama Masih Beroperasi
CV. BAMBANG SUMANTRI (Ex. Ir. Bambang Sumantri),"Jl. Danau Sunter Utara Blok F 20/30, Sunter Agung, Tanjung Priok, Jakarta Utara 14350",(021) 64716448,,,Pertamina,SPBU,34-14301,,JU/087/2008/II/P,Jakarta Utara,"Jl. Danau Sunter Utara Blok F 20/30, Sunter Agung, Tanjung Priok, Jakarta Utara 14350",Sunter Agung,Tanjung Priok,172/2009,28/12/2009,28/12/2014,Perpanjangan
MUHAMAD BAIHAQI,"Komp. DKI Sunter Jaya I Blok C No. 10, Jakarta Utara",(021) 64716898,,,Pertamina,SPBU,34-14302,,JU/180/2008/II/P,Jakarta Utara,"Jl. Danau Sunter Barat Blok A1, Sunter Agung, Tanjung Priok, Jakarta Utara 14350",Sunter Agung,Tanjung Priok,364/2008,5/06/2008,5/06/2009,Tidak Beroperasi
PT. SUKUN JAYA IMPEX,"Jl. Pramuka Raya Kav. 60-61, Cempaka Putih, Jakarta Pusat",(021) 4208732,,,Pertamina,SPBU,34-14303,,JU/278/2010/II/P,Jakarta Utara,"Jl. RE Martadinata No. 1 RT007/RW04, Ancol, Pademangan, Jakarta Utara 14430",Ancol,Pademangan,52/2010,28/04/2010,28/04/2011,Expired
